"Scenario","Scen","Beta","Method","n","MSE_se","MSE","Bias_se","Bias","Var_se","Variance","Cor_se","Correlation","Som_se","Somers_D","Detection","Detection_Max","Detection_Quad","Time"
3,"S3 (X14, X1)",1,"Dandl Extension",50,0.00386536353189888,0.0942377962253908,0.0146270853841752,-0.000335914998797147,0.00358615117714508,0.0839218974664757,0.0285545885647149,0.34146084325745,0.0251531078388136,0.290076689424049,22,22,16,46.28504
3,"S3 (X14, X1)",2,"DINA Original",50,0.0078756631255114,0.130855958108545,0.0154949821251933,-0.00176134155684344,0.00777610241312729,0.119326880463449,0.0323955206056071,0.496716659892606,0.0281049134129931,0.442793858429422,44,44,38,5.71226000000005
3,"S3 (X14, X1)",2,"DINA Cross-Fit",50,0.00387011733780982,0.130684565885763,0.0157761824458773,-0.00170063181522515,0.00340328550141894,0.118723612266009,0.0305310638406092,0.320191591904707,0.0273864353186945,0.29051571291996,44,44,38,7.02907999999998
3,"S3 (X14, X1)",2,"DINA Gao (LASSO k2)",50,0.0039517222590725,0.123302527787263,0.0150501634890676,-0.000332310749281846,0.00353308986853532,0.112428410546586,0.0335143492723345,0.413332332767505,0.0298448701668327,0.374727675810636,46,46,38,23.3900199999999
3,"S3 (X14, X1)",2,"DR-learner (2-Model 2SL)",50,0.00344652100431104,0.110071631493466,0.0157794952728537,0.000194332153871861,0.00279328191408734,0.098067096839925,0.0227867408475256,0.489089273231499,0.0208737684854875,0.432599833698953,46,46,34,95.89878
3,"S3 (X14, X1)",2,"R-learner (LASSO)",50,0.00861152620790867,0.12099172781245,0.0154780817042419,-0.00137754522296646,0.00856451814936796,0.109469790112918,0.0265519998841931,0.588041689499964,0.0237767896932523,0.513286118861102,44,44,38,0.130639999999999
3,"S3 (X14, X1)",2,"Dandl Extension",50,0.00494496156027273,0.128638803536096,0.0154513523895018,0.00098194887184229,0.0045018330755101,0.117173716502951,0.0178102421823671,0.610910279029029,0.0158006639872569,0.543617581077503,44,44,38,51.2123
4,"S4 (X14, X4)",0,"DINA Original",50,0.00546203505655988,0.0264064598895044,0.0144200070656245,-0.00318122755244378,0.0054929553320721,0.0162399259477992,0.0081693550336846,0.00535937099878668,NA,NA,4,4,8,2.63707999999997
4,"S4 (X14, X4)",0,"DINA Cross-Fit",50,0.00297613464174729,0.0234217557567281,0.0142845832152145,-0.00248457237405373,0.00201375733151022,0.0134440542012617,0.00563347897689016,0.00148481417192275,NA,NA,4,4,8,6.26020000000001
4,"S4 (X14, X4)",0,"DINA Gao (LASSO k2)",50,0.00378588591551983,0.0230219141327414,0.0146830116316839,-0.00229960271890017,0.00309582907329681,0.0124776305228903,0.00682059439300752,-0.0158122459581365,NA,NA,0,0,8,21.6717
4,"S4 (X14, X4)",0,"DR-learner (2-Model 2SL)",50,0.00239582615423971,0.0247695288411978,0.0143667082178469,-0.00323550089786063,0.00148905557224548,0.014674696822963,0.00637802523446726,-0.00737728943066342,NA,NA,4,4,6,96.5612
4,"S4 (X14, X4)",0,"R-learner (LASSO)",50,0.0033293452316626,0.0194494632627611,0.014392430443494,-0.00312068640231597,0.00313372923538003,0.00930838069105188,0.0091683588068849,0.00528283829227117,NA,NA,4,4,8,0.0999999999999602
