"Treatment_Scenario","Scenario","Beta","Method1","Method2","N_Sims","Mean_Delta","SD_Delta","MC_CI_Lo","MC_CI_Hi","Pct_Sims_Sig","Pct_Sims_Method1_Wins","Pct_Sims_Method2_Wins","Pct_Sims_Tie","Overall_Winner"
"RCT",1,2,"DINA Original","DINA Gao (GLM k2)",50,-0.231247525119244,0.0981039709536255,-0.258440558503317,-0.20405449173517,70,70,0,30,"DINA Original"
"RCT",1,2,"DINA Original","DINA Gao (LASSO k2)",50,-0.0101523631007071,0.0448987792088439,-0.0225976697489709,0.00229294354755679,26,20,6,74,"Tie"
"RCT",1,2,"DINA Original","Dandl Extension",50,0.00747219881145515,0.071987535699264,-0.0124817280528573,0.0274261256757676,10,4,6,90,"Tie"
"RCT",1,2,"DINA Original","R-learner (LASSO)",50,0.00986859543055084,0.0247898596230905,0.00299719691564408,0.0167399939454576,16,0,16,84,"R-learner (LASSO)"
"RCT",1,2,"DINA Original","WATCH (Residual LASSO)",50,0.0133224560696232,0.0803887471082203,-0.0089601677892115,0.0356050799284579,16,8,8,84,"Tie"
"RCT",1,2,"DINA Original","WATCH (Residual Risk)",50,0.0144709236590225,0.0777297414355299,-0.00707466143040201,0.0360165087484471,18,8,10,82,"Tie"
"RCT",1,2,"DR-learner (2-Model 2SL)","DINA Cross-Fit",50,-0.0176500030882732,0.0301060256021013,-0.0259949676325393,-0.00930503854400708,18,18,0,82,"DR-learner (2-Model 2SL)"
"RCT",1,2,"DR-learner (2-Model 2SL)","DINA Gao (GLM k2)",50,-0.227397387366136,0.107019793282381,-0.257061760614189,-0.197733014118084,60,60,0,40,"DR-learner (2-Model 2SL)"
"RCT",1,2,"DR-learner (2-Model 2SL)","DINA Gao (LASSO k2)",50,-0.00630222534759942,0.0353929029631956,-0.0161126375305314,0.00350818683533257,8,6,2,92,"Tie"
"RCT",1,2,"DR-learner (2-Model 2SL)","DINA Original",50,0.00385013775310765,0.0476182235616575,-0.00934896041198633,0.0170492359182016,22,4,18,78,"Tie"
"RCT",1,2,"DR-learner (2-Model 2SL)","DR-learner (Kennedy)",50,0.0112325960188181,0.0483721384104717,-0.00217547668067313,0.0246406687183093,20,4,16,80,"Tie"
"RCT",1,2,"DR-learner (2-Model 2SL)","Dandl Extension",50,0.0113223365645628,0.067556338428493,-0.00740332508128612,0.0300479982104118,6,0,6,94,"Tie"
"RCT",1,2,"DR-learner (2-Model 2SL)","R-learner (LASSO)",50,0.0137187331836585,0.040936948017819,0.00237159011422195,0.0250658762530951,18,0,18,82,"R-learner (LASSO)"
"RCT",1,2,"DR-learner (2-Model 2SL)","WATCH (Residual LASSO)",50,0.0171725938227309,0.0754079258595867,-0.0037294168236354,0.0380746044690971,20,6,14,80,"Tie"
"RCT",1,2,"DR-learner (2-Model 2SL)","WATCH (Residual Risk)",50,0.0183210614121302,0.0726016132594288,-0.00180307906771332,0.0384452018919737,18,4,14,82,"Tie"
"RCT",1,2,"DR-learner (Kennedy)","DINA Cross-Fit",50,-0.0288825991070912,0.0591506645444215,-0.0452783268234233,-0.0124868713907592,26,24,2,74,"DR-learner (Kennedy)"
"RCT",1,2,"DR-learner (Kennedy)","DINA Gao (GLM k2)",50,-0.238629983384954,0.0978406931188036,-0.265750039876431,-0.211509926893478,84,84,0,16,"DR-learner (Kennedy)"
"RCT",1,2,"DR-learner (Kennedy)","DINA Gao (LASSO k2)",50,-0.0175348213664175,0.05387959079375,-0.0324694819814017,-0.00260016075143326,22,20,2,78,"DR-learner (Kennedy)"
"RCT",1,2,"DR-learner (Kennedy)","DINA Original",50,-0.0073824582657104,0.0479628303777079,-0.0206770765668615,0.00591216003544074,16,10,6,84,"Tie"
"RCT",1,2,"DR-learner (Kennedy)","Dandl Extension",50,8.97405457447559e-05,0.0554036577191652,-0.0152673698679532,0.0154468509594427,14,4,10,86,"Tie"
"RCT",1,2,"DR-learner (Kennedy)","R-learner (LASSO)",50,0.00248613716484044,0.035446618802834,-0.00733916428920201,0.0123114386188829,16,8,8,84,"Tie"
"RCT",1,2,"DR-learner (Kennedy)","WATCH (Residual LASSO)",50,0.00593999780391281,0.0836628190249743,-0.0172501524890582,0.0291301480968838,14,8,6,86,"Tie"
"RCT",1,2,"DR-learner (Kennedy)","WATCH (Residual Risk)",50,0.00708846539331213,0.0809343696604524,-0.01534539732093,0.0295223281075543,18,10,8,82,"Tie"
